"event","points","total_points","rank","rank_sort","overall_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","id"
1,42,42,3570494,3586571,3570494,55,1000,0,0,0,"882240"
2,41,83,5524351,5528605,4830550,45,997,1,0,3,"882240"
3,53,136,1383861,1389830,3960758,23,994,1,0,0,"882240"
4,50,186,3172896,3180055,3549979,27,992,1,0,0,"882240"
5,47,233,5562537,5566324,4066755,31,991,1,0,3,"882240"
6,44,277,4513515,4522256,4166020,45,989,1,0,3,"882240"
7,47,324,5106154,5115917,4380143,35,985,1,0,3,"882240"
8,72,396,785073,791795,3623593,34,985,1,0,6,"882240"
9,54,450,4088242,4094686,3653627,34,987,0,0,0,"882240"
10,36,486,5703850,5706468,3907021,14,988,2,0,2,"882240"
11,38,524,7096645,7099061,4558298,14,989,0,0,2,"882240"
12,52,576,3861459,3869957,4480589,14,987,1,0,3,"882240"
13,24,600,7421143,7421313,4863719,30,989,2,0,5,"882240"
14,77,677,1284589,1291531,4445976,30,989,0,0,2,"882240"
15,56,733,987910,995093,4096349,27,990,1,0,6,"882240"
16,43,776,2466663,2479468,3961499,27,993,0,0,8,"882240"
17,56,832,4141285,4147634,3979968,31,996,1,0,0,"882240"
18,13,845,6988322,6994563,4239515,31,998,0,0,0,"882240"
19,113,958,354097,356166,3454458,31,998,0,0,1,"882240"
20,49,1007,2255970,2262703,3295245,16,998,1,0,2,"882240"
21,44,1051,4704268,4711717,3411233,16,1000,0,0,1,"882240"
22,73,1124,1902886,1910560,3181035,16,1003,0,0,0,"882240"
23,58,1182,4451322,4459159,3256318,28,1004,1,0,1,"882240"
24,89,1271,1126956,1132104,2857798,67,1005,2,0,10,"882240"
25,81,1352,605503,608537,2560076,67,1006,0,0,7,"882240"
26,73,1425,4527972,4532145,2607684,67,1004,1,0,1,"882240"
27,60,1485,3975973,3981668,2667226,32,1006,1,0,8,"882240"
28,34,1519,6466579,6469367,2806636,23,1007,1,0,3,"882240"
29,18,1537,4878639,4880548,2919074,17,1010,1,0,2,"882240"
30,44,1581,4729170,4734412,2950573,21,1010,1,0,1,"882240"
31,31,1612,6464041,6466484,3070663,37,1007,2,0,8,"882240"
32,40,1652,5605815,5607544,3139920,53,1006,1,0,2,"882240"
33,29,1681,5789051,5791311,3206028,50,1000,1,0,0,"882240"
34,57,1738,777758,780177,3023547,44,998,1,0,2,"882240"
35,87,1825,3420184,3427766,2993149,37,996,0,0,7,"882240"
36,42,1867,3338666,3342566,2970952,95,993,1,0,0,"882240"
37,51,1918,2369670,2378819,2932989,96,993,1,0,0,"882240"
38,43,1961,5754027,5757952,2997743,94,995,1,0,2,"882240"
1,55,55,2124707,2165208,2124707,5,1000,0,0,0,"2445169"
2,42,97,5417930,5430561,3806852,5,998,1,0,0,"2445169"
3,49,146,1969327,1992707,3172860,5,996,0,0,1,"2445169"
4,40,186,4654929,4674080,3532444,5,994,0,0,2,"2445169"
5,31,217,6919285,6920337,4792852,6,994,2,0,0,"2445169"
6,37,254,5889612,5902122,5059239,9,993,1,0,0,"2445169"
7,59,313,2265905,2293612,4787237,9,992,0,0,0,"2445169"
8,58,371,3229388,3246349,4543771,13,992,2,0,2,"2445169"
