"season_name","total_points","rank","id"
"2020/21",1961,2997743,"882240"
"2014/15",1493,2586747,"2445169"
"2015/16",1581,2640688,"2445169"
"2016/17",1860,1423456,"2445169"
"2017/18",1539,4574574,"2445169"
"2018/19",1932,2713380,"2445169"
"2019/20",1621,5880667,"2445169"
"2020/21",1896,3624486,"2445169"
"2008/09",1730,444658,"2439477"
"2009/10",1781,1049549,"2439477"
"2010/11",1822,545322,"2439477"
"2011/12",1637,1505328,"2439477"
"2012/13",1934,418441,"2439477"
"2013/14",1864,1527749,"2439477"
"2014/15",1900,586414,"2439477"
"2015/16",2049,406671,"2439477"
"2016/17",2149,134596,"2439477"
"2017/18",1899,2024940,"2439477"
"2018/19",1998,1906519,"2439477"
"2019/20",1855,3632691,"2439477"
"2020/21",1857,3989902,"2439477"
"2013/14",1766,1828879,"2440073"
"2014/15",1829,954264,"2440073"
"2015/16",1792,1826284,"2440073"
"2016/17",2193,74441,"2440073"
"2017/18",2080,601320,"2440073"
"2018/19",1930,2739205,"2440073"
"2019/20",1898,3105466,"2440073"
"2020/21",2056,2090208,"2440073"
"2018/19",1929,2751830,"2752114"
"2019/20",1913,2924848,"2752114"
"2020/21",1907,3520843,"2752114"
"2007/08",2115,45991,"2438353"
"2008/09",1757,373570,"2438353"
"2009/10",2188,86877,"2438353"
"2010/11",1905,275764,"2438353"
"2011/12",1885,481501,"2438353"
"2012/13",1940,399836,"2438353"
"2013/14",2071,759359,"2438353"
"2014/15",1632,1954385,"2438353"
"2015/16",1712,2171148,"2438353"
"2016/17",1820,1693622,"2438353"
"2017/18",1925,1802965,"2438353"
"2018/19",2016,1688766,"2438353"
"2019/20",1946,2520861,"2438353"
"2020/21",1808,4423728,"2438353"
"2013/14",2082,712840,"2438184"
"2014/15",1607,2074084,"2438184"
"2015/16",2015,565803,"2438184"
"2016/17",1732,2284978,"2438184"
"2017/18",1771,3036350,"2438184"
"2018/19",1602,5154399,"2438184"
"2019/20",1996,1938081,"2438184"
"2020/21",1799,4503539,"2438184"
"2013/14",1722,1958144,"2441126"
"2014/15",1632,1953710,"2441126"
"2015/16",1449,3068069,"2441126"
"2016/17",1656,2761081,"2441126"
"2017/18",1799,2820079,"2441126"
"2018/19",1700,4728401,"2441126"
"2019/20",1856,3618420,"2441126"
"2020/21",1837,4168576,"2441126"
"2008/09",1843,183769,"842932"
"2009/10",2265,32335,"842932"
"2010/11",1779,710140,"842932"
"2011/12",1976,214459,"842932"
"2012/13",2147,32377,"842932"
"2013/14",2024,946272,"842932"
"2014/15",2038,130700,"842932"
"2015/16",2193,48026,"842932"
"2016/17",2120,190993,"842932"
"2017/18",2238,61860,"842932"
"2018/19",2208,242611,"842932"
"2019/20",2178,396464,"842932"
"2020/21",2416,64037,"842932"
