"code","event","finished","finished_provisional","id","kickoff_time","minutes","provisional_start_time","started","team_a","team_a_score","team_h","team_h_score","team_h_difficulty","team_a_difficulty","pulse_id"
2367698,,FALSE,FALSE,162,,0,TRUE,,12,,3,,2,2,93482
2367713,,FALSE,FALSE,176,,0,TRUE,,4,,13,,3,5,93496
2367538,1,TRUE,TRUE,1,"2023-08-11T19:00:00Z",90,FALSE,TRUE,13,3,6,0,5,2,93321
2367540,1,TRUE,TRUE,2,"2023-08-12T12:00:00Z",90,FALSE,TRUE,16,1,1,2,2,4,93322
2367539,1,TRUE,TRUE,3,"2023-08-12T14:00:00Z",90,FALSE,TRUE,19,1,3,1,2,2,93323
2367541,1,TRUE,TRUE,4,"2023-08-12T14:00:00Z",90,FALSE,TRUE,12,1,5,4,2,3,93324
2367542,1,TRUE,TRUE,5,"2023-08-12T14:00:00Z",90,FALSE,TRUE,10,1,9,0,2,2,93325
2367544,1,TRUE,TRUE,7,"2023-08-12T14:00:00Z",90,FALSE,TRUE,8,1,17,0,2,2,93327
2367543,1,TRUE,TRUE,6,"2023-08-12T16:30:00Z",90,FALSE,TRUE,2,1,15,5,3,4,93326
2367545,1,TRUE,TRUE,8,"2023-08-13T13:00:00Z",90,FALSE,TRUE,18,2,4,2,3,3,93328
2367546,1,TRUE,TRUE,9,"2023-08-13T15:30:00Z",90,FALSE,TRUE,11,1,7,1,4,3,93329
2367547,1,TRUE,TRUE,10,"2023-08-14T19:00:00Z",90,FALSE,TRUE,20,0,14,1,2,4,93330
2367554,2,TRUE,TRUE,17,"2023-08-18T18:45:00Z",90,FALSE,TRUE,17,1,16,2,2,2,93337
2367550,2,TRUE,TRUE,13,"2023-08-19T14:00:00Z",90,FALSE,TRUE,4,3,10,0,3,2,93333
2367551,2,TRUE,TRUE,14,"2023-08-19T14:00:00Z",90,FALSE,TRUE,3,1,11,3,2,5,93334
2367557,2,TRUE,TRUE,20,"2023-08-19T14:00:00Z",90,FALSE,TRUE,5,4,20,1,3,2,93340
2367555,2,TRUE,TRUE,18,"2023-08-19T16:30:00Z",90,FALSE,TRUE,14,0,18,2,3,3,93338
2367553,2,TRUE,TRUE,16,"2023-08-19T19:00:00Z",90,FALSE,TRUE,15,0,13,1,3,5,93336
2367548,2,TRUE,TRUE,11,"2023-08-20T13:00:00Z",90,FALSE,TRUE,9,0,2,4,2,4,93331
2367556,2,TRUE,TRUE,19,"2023-08-20T15:30:00Z",90,FALSE,TRUE,7,1,19,3,3,3,93339
2367549,2,TRUE,TRUE,12,"2023-08-21T19:00:00Z",90,FALSE,TRUE,1,1,8,0,4,2,93332
2367563,3,TRUE,TRUE,26,"2023-08-25T19:00:00Z",90,FALSE,TRUE,12,0,7,3,2,3,93346
2367558,3,TRUE,TRUE,22,"2023-08-26T11:30:00Z",90,FALSE,TRUE,18,2,3,0,3,2,93342
2367559,3,TRUE,TRUE,21,"2023-08-26T14:00:00Z",90,FALSE,TRUE,10,2,1,2,2,4,93341
2367560,3,TRUE,TRUE,23,"2023-08-26T14:00:00Z",90,FALSE,TRUE,8,1,4,1,2,3,93343
2367564,3,TRUE,TRUE,27,"2023-08-26T14:00:00Z",90,FALSE,TRUE,20,1,9,0,2,2,93347
2367565,3,TRUE,TRUE,28,"2023-08-26T14:00:00Z",90,FALSE,TRUE,16,2,14,3,2,4,93348
2367561,3,TRUE,TRUE,24,"2023-08-26T16:30:00Z",90,FALSE,TRUE,19,3,5,1,2,3,93344
2367562,3,TRUE,TRUE,25,"2023-08-27T13:00:00Z",90,FALSE,TRUE,2,3,6,1,3,2,93345
2367567,3,TRUE,TRUE,30,"2023-08-27T13:00:00Z",90,FALSE,TRUE,13,2,17,1,5,2,93350
2367566,3,TRUE,TRUE,29,"2023-08-27T15:30:00Z",90,FALSE,TRUE,11,2,15,1,4,4,93349
2367575,4,TRUE,TRUE,38,"2023-09-01T19:00:00Z",90,FALSE,TRUE,19,2,12,1,2,2,93358
2367577,4,TRUE,TRUE,40,"2023-09-02T11:30:00Z",90,FALSE,TRUE,9,2,17,2,2,2,93360
2367569,4,TRUE,TRUE,32,"2023-09-02T14:00:00Z",90,FALSE,TRUE,3,2,4,2,2,3,93352
2367571,4,TRUE,TRUE,34,"2023-09-02T14:00:00Z",90,FALSE,TRUE,18,5,6,2,3,2,93354
2367572,4,TRUE,TRUE,35,"2023-09-02T14:00:00Z",90,FALSE,TRUE,16,1,7,0,2,3,93355
2367576,4,TRUE,TRUE,39,"2023-09-02T14:00:00Z",90,FALSE,TRUE,10,1,13,5,2,5,93359
2367570,4,TRUE,TRUE,33,"2023-09-02T16:30:00Z",90,FALSE,TRUE,15,1,5,3,3,3,93353
2367573,4,TRUE,TRUE,36,"2023-09-03T13:00:00Z",90,FALSE,TRUE,20,2,8,3,2,2,93356
2367574,4,TRUE,TRUE,37,"2023-09-03T13:00:00Z",90,FALSE,TRUE,2,0,11,3,3,5,93357
2367568,4,TRUE,TRUE,31,"2023-09-03T15:30:00Z",90,FALSE,TRUE,14,1,1,3,3,4,93351
2367587,5,TRUE,TRUE,50,"2023-09-16T11:30:00Z",90,FALSE,TRUE,11,3,20,1,4,2,93370
2367579,5,TRUE,TRUE,41,"2023-09-16T14:00:00Z",90,FALSE,TRUE,8,1,2,3,2,4,93361
2367581,5,TRUE,TRUE,44,"2023-09-16T14:00:00Z",90,FALSE,TRUE,12,0,10,1,2,2,93364
2367582,5,TRUE,TRUE,45,"2023-09-16T14:00:00Z",90,FALSE,TRUE,5,3,14,1,3,4,93365
2367585,5,TRUE,TRUE,48,"2023-09-16T14:00:00Z",90,FALSE,TRUE,17,1,18,2,2,3,93368
2367586,5,TRUE,TRUE,49,"2023-09-16T14:00:00Z",90,FALSE,TRUE,13,3,19,1,5,3,93369
2367583,5,TRUE,TRUE,46,"2023-09-16T16:30:00Z",90,FALSE,TRUE,4,0,15,1,3,4,93366
2367578,5,TRUE,TRUE,42,"2023-09-17T13:00:00Z",90,FALSE,TRUE,7,0,3,0,3,2,93362
2367580,5,TRUE,TRUE,43,"2023-09-17T15:30:00Z",90,FALSE,TRUE,1,1,9,0,4,2,93363
2367584,5,TRUE,TRUE,47,"2023-09-18T18:45:00Z",90,FALSE,TRUE,6,1,16,1,2,2,93367
2367593,6,TRUE,TRUE,56,"2023-09-23T14:00:00Z",90,FALSE,TRUE,10,0,8,0,2,2,93376
2367595,6,TRUE,TRUE,58,"2023-09-23T14:00:00Z",90,FALSE,TRUE,20,1,12,1,2,2,93378
2367596,6,TRUE,TRUE,59,"2023-09-23T14:00:00Z",90,FALSE,TRUE,16,0,13,2,2,5,93379
2367589,6,TRUE,TRUE,52,"2023-09-23T16:30:00Z",90,FALSE,TRUE,9,3,4,1,2,3,93372
2367591,6,TRUE,TRUE,54,"2023-09-23T19:00:00Z",90,FALSE,TRUE,14,1,6,0,3,2,93374
2367588,6,TRUE,TRUE,51,"2023-09-24T13:00:00Z",90,FALSE,TRUE,18,2,1,2,3,4,93371
2367590,6,TRUE,TRUE,53,"2023-09-24T13:00:00Z",90,FALSE,TRUE,3,1,5,3,2,3,93373
2367592,6,TRUE,TRUE,55,"2023-09-24T13:00:00Z",90,FALSE,TRUE,2,1,7,0,3,3,93375
2367594,6,TRUE,TRUE,57,"2023-09-24T13:00:00Z",90,FALSE,TRUE,19,1,11,3,2,5,93377
2367597,6,TRUE,TRUE,60,"2023-09-24T15:30:00Z",90,FALSE,TRUE,15,8,17,0,3,2,93380
2367599,7,TRUE,TRUE,61,"2023-09-30T11:30:00Z",90,FALSE,TRUE,5,1,2,6,3,4,93381
2367598,7,TRUE,TRUE,62,"2023-09-30T14:00:00Z",90,FALSE,TRUE,1,4,3,0,4,2,93382
2367600,7,TRUE,TRUE,63,"2023-09-30T14:00:00Z",90,FALSE,TRUE,12,2,9,1,2,2,93383
2367602,7,TRUE,TRUE,65,"2023-09-30T14:00:00Z",90,FALSE,TRUE,8,1,14,0,2,4,93385
2367603,7,TRUE,TRUE,66,"2023-09-30T14:00:00Z",90,FALSE,TRUE,6,0,15,2,2,4,93386
2367606,7,TRUE,TRUE,69,"2023-09-30T14:00:00Z",90,FALSE,TRUE,17,0,19,2,2,3,93389
2367607,7,TRUE,TRUE,70,"2023-09-30T14:00:00Z",90,FALSE,TRUE,13,1,20,2,5,2,93390
2367605,7,TRUE,TRUE,68,"2023-09-30T16:30:00Z",90,FALSE,TRUE,11,1,18,2,4,3,93388
2367604,7,TRUE,TRUE,67,"2023-10-01T13:00:00Z",90,FALSE,TRUE,4,1,16,1,3,2,93387
2367601,7,TRUE,TRUE,64,"2023-10-02T19:00:00Z",90,FALSE,TRUE,7,2,10,0,3,2,93384
2367552,7,TRUE,TRUE,15,"2023-10-03T18:30:00Z",90,FALSE,TRUE,6,2,12,1,2,2,93335
2367614,8,TRUE,TRUE,77,"2023-10-07T11:30:00Z",90,FALSE,TRUE,18,1,12,0,3,2,93397
2367610,8,TRUE,TRUE,73,"2023-10-07T14:00:00Z",90,FALSE,TRUE,7,4,6,1,3,2,93393
2367612,8,TRUE,TRUE,75,"2023-10-07T14:00:00Z",90,FALSE,TRUE,3,0,9,3,2,2,93395
2367613,8,TRUE,TRUE,76,"2023-10-07T14:00:00Z",90,FALSE,TRUE,17,1,10,3,2,2,93396
2367615,8,TRUE,TRUE,78,"2023-10-07T14:00:00Z",90,FALSE,TRUE,4,1,14,2,3,4,93398
2367611,8,TRUE,TRUE,74,"2023-10-07T16:30:00Z",90,FALSE,TRUE,16,0,8,0,2,2,93394
2367609,8,TRUE,TRUE,72,"2023-10-08T13:00:00Z",90,FALSE,TRUE,11,2,5,2,4,3,93392
2367616,8,TRUE,TRUE,79,"2023-10-08T13:00:00Z",90,FALSE,TRUE,15,2,19,2,3,3,93399
2367617,8,TRUE,TRUE,80,"2023-10-08T13:00:00Z",90,FALSE,TRUE,2,1,20,1,3,2,93400
2367608,8,TRUE,TRUE,71,"2023-10-08T15:30:00Z",90,FALSE,TRUE,13,0,1,1,5,4,93391
2367622,9,TRUE,TRUE,85,"2023-10-21T11:30:00Z",90,FALSE,TRUE,9,0,11,2,2,5,93405
2367618,9,TRUE,TRUE,82,"2023-10-21T14:00:00Z",90,FALSE,TRUE,20,2,3,1,2,2,93402
2367620,9,TRUE,TRUE,83,"2023-10-21T14:00:00Z",90,FALSE,TRUE,6,0,4,3,2,3,93403
2367623,9,TRUE,TRUE,86,"2023-10-21T14:00:00Z",90,FALSE,TRUE,5,1,13,2,3,5,93406
2367624,9,TRUE,TRUE,87,"2023-10-21T14:00:00Z",90,FALSE,TRUE,8,0,15,4,2,4,93407
2367625,9,TRUE,TRUE,88,"2023-10-21T14:00:00Z",90,FALSE,TRUE,12,2,16,2,2,2,93408
2367621,9,TRUE,TRUE,84,"2023-10-21T16:30:00Z",90,FALSE,TRUE,1,2,7,2,4,3,93404
