"name","time","event","id"
"wildcard","2024-12-29T07:57:21.001033Z",19,"96097"
"wildcard","2025-01-24T09:05:26.634686Z",23,"96097"
"freehit","2025-02-01T07:11:09.305117Z",24,"96097"
"manager","2025-04-01T14:20:38.277149Z",30,"96097"
"bboost","2025-05-10T06:32:11.303469Z",36,"96097"
"3xc","2025-05-25T09:47:12.965389Z",38,"96097"
"3xc","2024-08-24T09:14:36.142267Z",2,"93926"
"wildcard","2024-08-31T08:34:03.211205Z",3,"93926"
"manager","2025-02-01T10:58:41.465258Z",24,"93926"
"wildcard","2025-05-10T11:42:28.891448Z",36,"93926"
"bboost","2025-05-16T16:34:43.424826Z",37,"93926"
"wildcard","2024-08-26T16:28:44.364017Z",3,"1114016"
"wildcard","2025-02-13T15:32:24.482380Z",25,"1114016"
"freehit","2025-03-14T20:38:37.174370Z",29,"1114016"
"manager","2025-03-27T20:50:31.348103Z",30,"1114016"
"bboost","2025-05-09T13:17:13.017935Z",36,"1114016"
"3xc","2025-05-16T11:51:58.543610Z",37,"1114016"
"manager","2025-03-27T16:37:26.924576Z",30,"109884"
"freehit","2025-04-25T16:21:38.532927Z",34,"109884"
"bboost","2025-05-12T13:34:50.226699Z",37,"109884"
"3xc","2025-05-23T10:54:34.340100Z",38,"109884"
"freehit","2024-12-07T10:53:09.712866Z",15,"6188948"
"wildcard","2024-12-21T08:52:03.069038Z",17,"6188948"
"wildcard","2025-02-14T17:53:48.135513Z",25,"6188948"
"manager","2025-03-28T16:23:12.748537Z",30,"6188948"
"bboost","2025-05-09T15:08:53.587713Z",36,"6188948"
"3xc","2025-05-15T22:08:50.963826Z",37,"6188948"
"wildcard","2024-09-11T08:32:48.489137Z",4,"1123161"
"freehit","2025-03-15T10:16:08.691111Z",29,"1123161"
"manager","2025-03-30T00:12:07.691120Z",30,"1123161"
"bboost","2025-05-06T22:05:56.324804Z",36,"1123161"
"3xc","2025-05-14T17:46:54.946741Z",37,"1123161"
"manager","2025-03-31T21:54:48.485147Z",30,"10946"
"freehit","2025-04-19T10:32:39.321507Z",33,"10946"
"3xc","2025-05-16T15:15:14.173887Z",37,"10946"
"bboost","2025-05-23T10:46:46.365948Z",38,"10946"
"manager","2025-03-31T10:21:32.437906Z",30,"6186573"
"freehit","2025-05-02T06:24:43.323948Z",35,"6186573"
"bboost","2025-05-09T08:23:56.891664Z",36,"6186573"
"3xc","2025-05-23T06:55:38.644947Z",38,"6186573"
"manager","2025-03-31T14:05:33.178317Z",30,"1077612"
"freehit","2025-04-20T13:25:29.044867Z",34,"1077612"
"bboost","2025-05-11T17:27:51.230552Z",37,"1077612"
"3xc","2025-05-16T21:14:12.887430Z",38,"1077612"
