"player_id","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","total_points","in_dreamteam","NA.","NA..1","NA..2","NA..3","NA..4","gameweek"
"1","90","0","0","1","0","0","0","0","1","0","7","3","38","49.8","0.0","0.0","5.0","1","13","0","0","1","0.00","0.00","0.00","1.59","10","TRUE","FALSE",1
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"5","90","0","0","1","0","0","0","0","0","0","0","0","22","20.6","0.3","4.0","2.5","5","1","1","6","1","0.00","0.00","0.00","1.59","6","FALSE","FALSE",1
"6","90","0","0","1","0","0","0","0","0","0","0","1","25","31.6","0.1","0.0","3.2","10","3","4","14","1","0.00","0.00","0.00","1.59","9","FALSE","FALSE",1
"7","71","1","0","1","0","0","0","0","1","0","0","2","34","37.0","2.0","35.0","7.4","4","5","1","5","1","0.61","0.01","0.62","0.85","13","TRUE","FALSE",1
"8","19","0","0","0","0","0","0","0","1","0","0","0","-3","3.0","0.3","0.0","0.3","1","1","2","3","0","0.00","0.00","0.00","0.74","0","FALSE","FALSE",1
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"10","18","0","0","0","0","0","0","0","1","0","0","0","-1","0.2","0.0","0.0","0.0","1","0","0","1","0","0.00","0.00","0.00","0.74","0","FALSE","FALSE",1
"11","70","0","0","1","0","0","0","0","0","0","0","0","23","15.4","11.3","1.0","2.8","6","4","2","8","1","0.01","0.01","0.02","0.85","6","FALSE","FALSE",1
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"14","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"15","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"16","90","0","0","1","0","0","0","0","0","0","0","0","5","10.0","16.4","5.0","3.1","0","2","3","5","1","0.08","0.09","0.17","1.59","3","FALSE","FALSE",1
"17","90","0","0","1","0","0","0","0","0","0","0","0","16","17.8","17.3","17.0","5.2","6","7","1","14","1","0.13","0.09","0.22","1.59","5","FALSE","FALSE",1
"18","30","0","0","0","0","0","0","0","0","0","0","0","2","1.6","10.7","2.0","1.4","0","0","0","0","0","0.00","0.02","0.02","0.91","1","FALSE","FALSE",1
"19","59","0","0","0","0","0","0","0","0","0","0","0","7","6.2","10.3","21.0","3.8","0","3","1","4","1","0.04","0.01","0.05","0.68","1","FALSE","FALSE",1
"20","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"21","82","0","1","1","0","0","0","0","0","0","0","0","14","2.8","2.3","8.0","1.3","1","3","0","4","1","0.17","0.01","0.18","1.10","6","FALSE","FALSE",1
"22","7","0","0","0","0","0","0","0","0","0","0","0","2","1.2","0.0","0.0","0.1","1","0","0","1","0","0.00","0.00","0.00","0.48","1","FALSE","FALSE",1
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"24","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"25","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0","0","0.00","0.00","0.00","0.00","0","FALSE","FALSE",1
"26","90","0","0","1","0","0","0","0","0","0","0","0","15","16.0","1.9","2.0","2.0","4","5","3","12","1","0.00","0.01","0.01","1.59","5","FALSE","FALSE",1
