"element","fixture","opponent_team","total_points","was_home","kickoff_time","team_h_score","team_a_score","round","modified","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","clearances_blocks_interceptions","recoveries","tackles","defensive_contribution","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","value","transfers_balance","selected","transfers_in","transfers_out"
1,9,14,10,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,90,0,0,1,0,0,0,0,1,0,7,3,38,"49.8","0.0","0.0","5.0",1,13,0,0,1,"0.00","0.00","0.00","1.59",55,0,1531911,0,0
2,9,14,0,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",45,0,90618,0,0
3,9,14,0,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,55400,0,0
4,9,14,0,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",40,0,13373,0,0
5,9,14,6,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,0,22,"20.6","0.3","4.0","2.5",5,1,1,6,1,"0.00","0.00","0.00","1.59",60,0,1696374,0,0
6,9,14,9,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,90,0,0,1,0,0,0,0,0,0,0,1,25,"31.6","0.1","0.0","3.2",10,3,4,14,1,"0.00","0.00","0.00","1.59",60,0,1257079,0,0
7,9,14,13,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,71,1,0,1,0,0,0,0,1,0,0,2,34,"37.0","2.0","35.0","7.4",4,5,1,5,1,"0.61","0.01","0.62","0.85",55,0,63049,0,0
8,9,14,0,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,19,0,0,0,0,0,0,0,1,0,0,0,-3,"3.0","0.3","0.0","0.3",1,1,2,3,0,"0.00","0.00","0.00","0.74",55,0,210465,0,0
9,9,14,0,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,"0.00","0.00","0.00","0.00",55,0,12048,0,0
10,9,14,0,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,18,0,0,0,0,0,0,0,1,0,0,0,-1,"0.2","0.0","0.0","0.0",1,0,0,1,0,"0.00","0.00","0.00","0.74",55,0,399029,0,0
11,9,14,6,FALSE,"2025-08-17T15:30:00Z",0,1,1,FALSE,70,0,0,1,0,0,0,0,0,0,0,0,23,"15.4","11.3","1.0","2.8",6,4,2,8,1,"0.01","0.01","0.02","0.85",55,0,73566,0,0
