Player,Team,Pos,GW4,GW5,GW6,GW7,GW8,GW9,Total,Price,Value
M.Salah,Liverpool,M,7.32,6.4,5.76,4.74,6.23,6.26,36.7,14.5m,2.53
Haaland,Man City,F,6.15,4.21,7.3,5.88,5.88,5.26,34.69,14.1m,2.46
B.Fernandes,Man Utd,M,4.23,4.48,4.92,5.83,4.1,5.1,28.68,9m,3.19
Watkins,Aston Villa,F,4.13,4.92,5.09,5.84,4.21,4.18,28.38,8.9m,3.19
Palmer,Chelsea,M,0,4.67,5.9,4.99,5.31,7.03,27.9,10.4m,2.68
Semenyo,Bournemouth,M,4.66,4.46,4.44,4.84,4.06,4.76,27.21,7.4m,3.68
Gyokeres,Arsenal,F,5.18,4,3.93,5.03,4.23,4.74,27.11,9m,3.01
Mbeumo,Man Utd,M,3.73,4.06,4.53,5.49,3.58,4.71,26.1,8.1m,3.22
Odegaard,Arsenal,M,4.91,3.86,3.8,4.82,4.1,4.55,26.04,7.9m,3.3
Joao Pedro,Chelsea,F,4.73,3.67,4.37,3.78,3.87,4.85,25.28,7.7m,3.28
Wirtz,Liverpool,M,4.87,4.31,3.93,3.34,4.18,4.2,24.83,8.4m,2.96
Mitoma,Brighton,M,4.12,4.57,3.48,4.49,4.39,3.76,24.81,6.4m,3.88
Rodrigo,Man City,M,4.26,3.63,4.52,4.09,4.14,3.86,24.49,6.4m,3.83
Mateta,Crystal Palace,F,5.68,3.96,3.62,3.61,4.36,3.04,24.28,7.5m,3.24
Mac Allister,Liverpool,M,4.45,4.18,3.91,3.53,4.06,4.06,24.19,6.4m,3.78
Saka,Arsenal,M,0,4.24,4.29,5.59,4.71,5.31,24.13,9.9m,2.44
Wissa,Newcastle,F,4.94,3.8,3.29,4.18,3.54,4.25,24.01,7.5m,3.2
Bowen,West Ham,F,4.22,4.32,3.67,3.11,4.62,4.05,23.99,7.8m,3.08
Rogers,Aston Villa,M,3.56,4.19,4.31,4.93,3.51,3.5,23.98,7m,3.43
Gabriel,Arsenal,D,4.52,3.32,3.34,4.61,3.86,4.33,23.97,6.1m,3.93
Wood,Nott'm Forest,F,3.14,4.46,4.96,3.66,3.7,3.85,23.76,7.7m,3.09
Kudus,Tottenham,M,4.02,3.65,4.59,3.93,4.03,3.52,23.73,6.6m,3.6
Ndiaye,Everton,M,4.21,3.3,4.47,4.23,3.31,4.11,23.63,6.5m,3.64
Calafiori,Arsenal,D,4.81,3.29,3.25,4.5,3.64,4.1,23.59,5.7m,4.14
Isak,Liverpool,F,1.29,4.65,4.36,3.69,4.77,4.79,23.54,10.4m,2.26
Raya,Arsenal,GK,4.19,3.49,3.51,4.3,3.84,4.12,23.44,5.5m,4.26
Bruno G.,Newcastle,M,4.5,3.7,3.49,4.03,3.61,4.12,23.44,6.5m,3.61
Evanilson,Bournemouth,F,4.07,3.83,3.8,4.12,3.53,4.1,23.44,7m,3.35
