Player,Team,Pos,GW1,GW2,GW3,GW4,GW5,GW6,Total,Price,Value
M.Salah,Liverpool,M,7.46,5.74,5.48,7.65,7.1,6.27,39.72,14.5m,2.74
Palmer,Chelsea,M,6.42,5.88,6.6,6.01,5.25,6.5,36.66,10.5m,3.49
Haaland,Man City,F,6.1,6.41,5.6,6.26,4.24,7.84,36.44,14m,2.6
Watkins,Aston Villa,F,5.12,4.93,5.34,4.5,5.67,5.35,30.91,9m,3.43
Saka,Arsenal,M,4.8,6.37,3.96,5.82,4.73,4.54,30.2,10m,3.02
B.Fernandes,Man Utd,M,4.3,4.43,5.79,3.95,4.53,4.62,27.61,9m,3.07
Bowen,West Ham,F,5.13,4.34,4.28,4.63,4.73,4.02,27.13,8m,3.39
Johnson,Tottenham,M,6.02,3.34,4.72,4.05,3.73,4.61,26.47,7m,3.78
Eze,Crystal Palace,M,3.82,4.85,3.96,5.71,4.27,3.83,26.44,7.5m,3.53
Wirtz,Liverpool,M,4.99,3.83,3.74,4.9,4.64,4.16,26.25,8.5m,3.09
Gyokeres,Arsenal,F,4.08,5.33,3.39,4.86,4.04,3.86,25.57,9m,2.84
Mbeumo,Man Utd,M,3.92,4.1,5.56,3.46,4.18,4.3,25.52,8m,3.19
Wood,Nott'm Forest,F,4.58,3.76,4.49,3.02,4.46,5.16,25.47,7.5m,3.4
Mitoma,Brighton,M,4.89,4.12,3.97,4.18,4.59,3.68,25.43,6.5m,3.91
Semenyo,Bournemouth,M,3.42,4.9,3.86,4.53,4.22,4.43,25.36,7m,3.62
Cunha,Man Utd,M,3.9,4.04,5.54,3.36,4.11,4.23,25.18,8m,3.15
Gakpo,Liverpool,M,5.08,3.74,3.58,4.53,4.21,3.71,24.84,7.5m,3.31
Ekitike,Liverpool,F,4.66,3.65,3.51,4.63,4.33,3.92,24.69,8.5m,2.9
Ndiaye,Everton,M,4.34,4.27,4.01,4.14,3.29,4.46,24.51,6.5m,3.77
Odegaard,Arsenal,M,3.91,5.06,3.29,4.67,3.85,3.71,24.49,8m,3.06
Joao Pedro,Chelsea,F,4.34,3.9,4.26,3.9,3.47,4.12,23.98,7.5m,3.2
Isak,Newcastle,F,1.7,4.05,4.85,5.12,4.4,3.83,23.94,10.5m,2.28
Mateta,Crystal Palace,F,3.46,4.38,3.58,5.17,3.87,3.46,23.92,7.5m,3.19
Tielemans,Aston Villa,M,3.98,3.86,4.09,3.71,4.18,4.07,23.89,6m,3.98
Strand Larsen,Wolves,F,3.68,3.89,4.26,3.51,4.84,3.63,23.81,6.5m,3.66
Evanilson,Bournemouth,F,3.22,4.5,3.6,4.21,3.94,4.14,23.61,7m,3.37
Rogers,Aston Villa,M,2.69,3.91,4.32,3.68,4.58,4.37,23.54,7m,3.36
Murillo,Nott'm Forest,D,4.11,3.59,4.17,2.88,4.1,4.67,23.53,5.5m,4.28
Minteh,Brighton,M,4.58,3.8,3.69,3.82,4.19,3.4,23.47,6m,3.91
Sarr,Crystal Palace,M,3.37,4.28,3.48,5.08,3.79,3.39,23.39,6.5m,3.6
Virgil,Liverpool,D,4.11,3.21,3.48,4.33,4.44,3.76,23.33,6m,3.89
Ward-Prowse,West Ham,M,4.36,3.77,3.72,3.91,4,3.53,23.28,6m,3.88
Gibbs-White,Nott'm Forest,M,4.15,3.41,4.08,2.82,4,4.7,23.17,7.5m,3.09
A.Becker,Liverpool,GK,3.86,3.4,3.57,4.13,4.23,3.74,22.93,5.5m,4.17
Milenkovic,Nott'm Forest,D,4.04,3.4,4.08,2.62,4.01,4.69,22.84,5.5m,4.15
Rice,Arsenal,M,3.74,4.3,3.41,4.11,3.66,3.58,22.8,6.5m,3.51
Enzo,Chelsea,M,3.99,3.7,4.01,3.74,3.42,3.94,22.8,6.5m,3.51
Pedro Porro,Tottenham,D,5.3,2.29,3.99,3.59,3.11,4.5,22.78,5.5m,4.14
Frimpong,Liverpool,D,4.48,3.15,3.29,4.24,4.16,3.44,22.76,6m,3.79
Iwobi,Fulham,M,3.59,3.8,3.23,4.41,4.23,3.42,22.68,6.5m,3.49
Anderson,Nott'm Forest,M,3.89,3.55,3.84,3.3,3.74,4.04,22.35,5.5m,4.06
Raya,Arsenal,GK,3.6,4.3,3.15,4.21,3.43,3.44,22.14,5.5m,4.02
Adingra,Sunderland,M,4.05,3.9,3.92,3.27,3.55,3.33,22.02,5.5m,4
Schade,Brentford,M,2.72,3.88,4.24,3.66,3.58,3.9,21.97,7m,3.14
Tarkowski,Everton,D,3.8,3.78,3.85,3.67,2.61,4.18,21.89,5.5m,3.98
L.Paqueta,West Ham,M,4.04,3.58,3.5,3.66,3.73,3.33,21.85,6m,3.64
Kudus,Tottenham,M,4.61,2.91,3.8,3.42,3.23,3.86,21.84,6.5m,3.36
Bruno G.,Newcastle,M,3.59,3.46,3.79,4,3.53,3.4,21.78,6.5m,3.35
Szoboszlai,Liverpool,M,4.29,3.29,3.2,3.92,3.71,3.32,21.74,6.5m,3.34
Gabriel,Arsenal,D,3.43,4.59,2.66,4.43,3.24,3.24,21.58,6m,3.6
Saliba,Arsenal,D,3.44,4.57,2.66,4.4,3.21,3.22,21.5,6m,3.58
Mac Allister,Liverpool,M,2.85,3.42,3.42,4.07,3.98,3.69,21.42,6.5m,3.3
Georginio,Brighton,M,4.1,3.45,3.37,3.51,3.84,3.14,21.4,6m,3.57
Gordon,Newcastle,M,3.54,3.25,3.86,4.13,3.44,3.12,21.34,7.5m,2.85
Lacroix,Crystal Palace,D,2.88,4.1,3.11,4.65,3.55,3.04,21.34,5m,4.27
Damsgaard,Brentford,M,3.58,3.56,3.77,3.44,3.39,3.56,21.3,6m,3.55
Gomes,Wolves,M,3.52,3.48,3.68,3.36,3.81,3.37,21.21,5.5m,3.86
Gittens,Chelsea,M,3.95,3.43,3.75,3.41,3.04,3.59,21.17,6.5m,3.26
Sanchez,Chelsea,GK,3.79,3.48,3.8,3.4,3.14,3.52,21.12,5m,4.22
Ndoye,Nott'm Forest,M,3.79,3.17,3.7,2.62,3.6,4.12,21,6m,3.5
Munoz,Crystal Palace,D,2.61,4.14,2.9,4.95,3.42,2.8,20.81,5.5m,3.78
Pickford,Everton,GK,3.53,3.54,3.58,3.46,2.84,3.82,20.77,5.5m,3.78
Barnes,Newcastle,M,4,3.39,3.88,3.71,3.08,2.69,20.76,6.5m,3.19
Caicedo,Chelsea,M,3.57,3.43,3.54,3.41,3.3,3.48,20.74,5.5m,3.77
James,Leeds,M,3.84,2.75,3.53,3.32,3.44,3.78,20.66,5.5m,3.76
Wan-Bissaka,West Ham,D,3.96,2.98,3.23,3.36,3.78,3.35,20.65,4.5m,4.59
Gnonto,Leeds,M,3.8,2.86,3.52,3.32,3.42,3.72,20.64,5.5m,3.75
Tavernier,Bournemouth,M,3.06,3.95,3.18,3.56,3.37,3.5,20.62,5.5m,3.75
Ederson M.,Man City,GK,3.57,3.48,3.15,3.47,2.86,4.08,20.62,5.5m,3.75
Wilson,Fulham,M,3.61,3.68,2.96,3.91,3.62,2.79,20.56,5.5m,3.74
Gvardiol,Man City,D,1.74,3.88,3.31,3.9,2.69,5.01,20.52,6m,3.42
Sels,Nott'm Forest,GK,3.52,3.18,3.55,2.81,3.51,3.92,20.48,5m,4.1
Rodrigo,Man City,M,0,4.16,3.9,4.17,3.56,4.66,20.45,6.5m,3.15
Diarra,Sunderland,M,3.64,3.51,3.51,3.22,3.32,3.23,20.43,5.5m,3.71
Piroe,Leeds,F,3.76,2.69,3.51,3.28,3.39,3.76,20.39,5.5m,3.71
Joelinton,Newcastle,M,3.4,3.27,3.55,3.73,3.23,3.16,20.35,6m,3.39
Vicario,Tottenham,GK,4,2.82,3.4,3.3,3.07,3.76,20.35,5m,4.07
Stach,Leeds,M,3.54,3.2,3.41,3.32,3.34,3.44,20.26,5m,4.05
James,Chelsea,D,3.89,3.23,3.78,3.19,2.67,3.45,20.22,5.5m,3.68
Carvalho,Brentford,M,3.58,3.5,3.67,3.17,3.05,3.22,20.19,5m,4.04
Neto,Chelsea,M,3.72,3.29,3.59,3.24,2.88,3.41,20.13,7m,2.88
Branthwaite,Everton,D,3.51,3.48,3.56,3.37,2.36,3.84,20.12,5.5m,3.66
Collins,Brentford,D,3.33,3.3,3.82,3.01,3.19,3.32,19.99,5m,4
Hudson-Odoi,Nott'm Forest,M,3.63,3.05,3.52,2.5,3.41,3.87,19.98,6m,3.33
Aït-Nouri,Man City,D,3.74,3.46,2.84,3.36,2.19,4.33,19.92,6m,3.32
Leno,Fulham,GK,3.11,3.39,2.93,3.78,3.63,3.03,19.87,5m,3.97
Solanke,Tottenham,F,2.05,2.93,3.95,3.54,3.36,3.99,19.82,7.5m,2.64
Henderson,Crystal Palace,GK,2.91,3.65,3.01,4.02,3.25,2.97,19.81,5m,3.96
Šesko,Man Utd,F,1.79,3.37,4.58,2.93,3.52,3.62,19.8,7.5m,2.64
Senesi,Bournemouth,D,2.36,4.33,2.89,3.49,3.22,3.43,19.72,4.5m,4.38
Wieffer,Brighton,M,3.78,3.28,3.22,3.15,3.3,2.99,19.71,5m,3.94
Gana,Everton,M,3.35,3.31,3.26,3.28,3.1,3.4,19.7,5.5m,3.58
Anthony,Burnley,M,3.11,4.05,3,2.96,3.54,2.85,19.51,5.5m,3.55
Romero,Tottenham,D,4.48,2.01,3.35,3.08,2.67,3.88,19.47,5m,3.89
Dewsbury-Hall,Everton,M,3.41,3.32,3.18,3.26,2.8,3.47,19.44,5m,3.89
Doku,Man City,M,3.63,3.42,3,3.21,2.36,3.78,19.41,6.5m,2.99
Konsa,Aston Villa,D,2.91,2.87,3.47,3.08,3.55,3.45,19.33,4.5m,4.3
Verbruggen,Brighton,GK,3.67,3.39,2.98,3.05,3.35,2.87,19.31,4.5m,4.29
Tonali,Newcastle,M,3.24,3.12,3.35,3.49,3.09,3.02,19.31,5.5m,3.51
Casemiro,Man Utd,M,3.39,3.18,3.61,2.95,3.08,3.08,19.28,5.5m,3.51
Cucurella,Chelsea,D,3.71,3.07,3.59,3.02,2.54,3.26,19.2,6m,3.2
Pope,Newcastle,GK,3.05,2.98,3.36,3.73,3.01,3.06,19.2,5m,3.84
Petrovic,Bournemouth,GK,2.79,3.69,2.98,3.27,3.15,3.24,19.11,4.5m,4.25
Grealish,Everton,M,2.17,3.57,3.33,3.5,2.63,3.88,19.09,6.5m,2.94
Xhaka,Sunderland,M,3.44,3.31,3.33,2.9,3.08,2.93,18.99,5m,3.8
Jose Sa,Wolves,GK,2.96,3.02,3.65,2.88,3.55,2.92,18.99,4.5m,4.22
Amad,Man Utd,M,2.35,3.13,4.17,2.75,3.25,3.34,18.98,6.5m,2.92
Thiago,Brentford,F,3.29,3.26,3.46,2.99,2.88,3.07,18.95,6m,3.16
Andre,Wolves,M,3.21,3.12,3.23,3.09,3.22,3.08,18.94,5.5m,3.44
Schär,Newcastle,D,2.85,2.7,3.45,4.05,2.84,2.91,18.81,5.5m,3.42
Hannibal,Burnley,M,3.09,3.48,2.99,3.01,3.24,2.98,18.8,5m,3.76
Fullkrug,West Ham,F,3.59,3.06,2.99,3.17,3.21,2.77,18.79,6m,3.13
