"season","gameweek","game_type","round","home_team_id","home_team","home_score","vrs","away_score","away_team","away_team_id"
"2022/23",1,"League","Group Stage",191239,"James",51,"v",55,"Andy",1106737
"2022/23",10,"League","Group Stage",200257,"Steven",43,"v",54,"Andy",1106737
"2022/23",12,"League","Group Stage",3014211,"Simon",30,"v",28,"Andy",1106737
"2022/23",14,"League","Group Stage",3014705,"Keith",33,"v",61,"Andy",1106737
"2022/23",15,"League","Group Stage",191239,"James",46,"v",36,"Andy",1106737
"2022/23",17,"League","Group Stage",200257,"Steven",45,"v",34,"Andy",1106737
"2022/23",19,"League","Group Stage",3014211,"Simon",43,"v",46,"Andy",1106737
"2022/23",21,"Cup","Quarter Final",3014211,"Simon",41,"v",31,"Andy",1106737
"2022/23",21,"Cup","Quarter Final",3014211,"Simon",41,"v",31,"Andy",1106737
"2022/23",21,"Cup","Quarter Final",3014211,"Simon",41,"v",31,"Andy",1106737
"2022/23",21,"Cup","Quarter Final",3014211,"Simon",41,"v",31,"Andy",1106737
"2022/23",21,"League","Group Stage",3014705,"Keith",55,"v",37,"Andy",1106737
"2022/23",22,"League","Group Stage",191239,"James",34,"v",32,"Andy",1106737
"2022/23",24,"League","Group Stage",200257,"Steven",50,"v",31,"Andy",1106737
"2022/23",26,"League","Group Stage",3014211,"Simon",64,"v",35,"Andy",1106737
"2022/23",28,"League","Group Stage",3014705,"Keith",45,"v",75,"Andy",1106737
"2022/23",29,"League","Group Stage",191239,"James",73,"v",69,"Andy",1106737
"2022/23",3,"League","Group Stage",200257,"Steven",82,"v",42,"Andy",1106737
"2022/23",31,"League","Group Stage",200257,"Steven",71,"v",48,"Andy",1106737
"2022/23",33,"League","Group Stage",3014211,"Simon",40,"v",69,"Andy",1106737
"2022/23",35,"League","Group Stage",3014705,"Keith",49,"v",50,"Andy",1106737
"2022/23",5,"League","Group Stage",3014211,"Simon",54,"v",36,"Andy",1106737
"2022/23",7,"League","Group Stage",3014705,"Keith",0,"v",0,"Andy",1106737
"2022/23",8,"League","Group Stage",191239,"James",64,"v",58,"Andy",1106737
"2022/23",1,"League","Group Stage",3014211,"Simon",59,"v",39,"Gordon",1177922
"2022/23",10,"League","Group Stage",2359578,"Walid",51,"v",71,"Gordon",1177922
"2022/23",13,"League","Group Stage",1106737,"Andy",35,"v",38,"Gordon",1177922
"2022/23",14,"League","Group Stage",191239,"James",33,"v",65,"Gordon",1177922
"2022/23",15,"League","Group Stage",3014211,"Simon",67,"v",58,"Gordon",1177922
"2022/23",17,"League","Group Stage",2359578,"Walid",41,"v",68,"Gordon",1177922
"2022/23",20,"League","Group Stage",1106737,"Andy",55,"v",30,"Gordon",1177922
"2022/23",21,"League","Group Stage",191239,"James",61,"v",67,"Gordon",1177922
"2022/23",22,"Cup","Quarter Final",200257,"Steven",29,"v",41,"Gordon",1177922
"2022/23",22,"Cup","Quarter Final",200257,"Steven",29,"v",41,"Gordon",1177922
"2022/23",22,"Cup","Quarter Final",200257,"Steven",29,"v",41,"Gordon",1177922
"2022/23",22,"Cup","Quarter Final",200257,"Steven",29,"v",41,"Gordon",1177922
"2022/23",22,"League","Group Stage",3014211,"Simon",44,"v",43,"Gordon",1177922
"2022/23",23,"Cup","Semi Final",3015602,"Gavin",47,"v",57,"Gordon",1177922
"2022/23",23,"Cup","Semi Final",3015602,"Gavin",47,"v",57,"Gordon",1177922
"2022/23",23,"Cup","Semi Final",3015602,"Gavin",47,"v",57,"Gordon",1177922
"2022/23",23,"Cup","Semi Final",3015602,"Gavin",47,"v",57,"Gordon",1177922
"2022/23",24,"League","Group Stage",2359578,"Walid",39,"v",44,"Gordon",1177922
"2022/23",27,"League","Group Stage",1106737,"Andy",67,"v",61,"Gordon",1177922
"2022/23",28,"League","Group Stage",191239,"James",23,"v",66,"Gordon",1177922
"2022/23",29,"League","Group Stage",3014211,"Simon",74,"v",82,"Gordon",1177922
"2022/23",3,"League","Group Stage",2359578,"Walid",49,"v",35,"Gordon",1177922
"2022/23",31,"League","Group Stage",2359578,"Walid",41,"v",49,"Gordon",1177922
"2022/23",34,"League","Group Stage",1106737,"Andy",38,"v",62,"Gordon",1177922
"2022/23",35,"League","Group Stage",191239,"James",30,"v",43,"Gordon",1177922
"2022/23",6,"League","Group Stage",1106737,"Andy",37,"v",41,"Gordon",1177922
"2022/23",7,"League","Group Stage",191239,"James",0,"v",0,"Gordon",1177922
"2022/23",8,"League","Group Stage",3014211,"Simon",43,"v",40,"Gordon",1177922
"2021/22",1,"League","Group Stage",3801379,"Gavin",24,"v",55,"James",16280
"2021/22",10,"League","Group Stage",3824633,"Steven",35,"v",53,"James",16280
"2021/22",12,"League","Group Stage",2347381,"Gordon",37,"v",50,"James",16280
"2021/22",14,"League","Group Stage",3802409,"Simon",28,"v",64,"James",16280
"2021/22",15,"League","Group Stage",3801379,"Gavin",35,"v",61,"James",16280
"2021/22",17,"League","Group Stage",3824633,"Steven",37,"v",36,"James",16280
"2021/22",19,"League","Group Stage",2347381,"Gordon",49,"v",49,"James",16280
"2021/22",21,"League","Group Stage",3802409,"Simon",40,"v",40,"James",16280
"2021/22",22,"League","Group Stage",3801379,"Gavin",25,"v",48,"James",16280
"2021/22",24,"League","Group Stage",3824633,"Steven",55,"v",57,"James",16280
"2021/22",26,"League","Group Stage",2347381,"Gordon",75,"v",67,"James",16280
"2021/22",28,"League","Group Stage",3802409,"Simon",87,"v",69,"James",16280
"2021/22",29,"League","Group Stage",3801379,"Gavin",86,"v",68,"James",16280
"2021/22",3,"League","Group Stage",3824633,"Steven",51,"v",58,"James",16280
"2021/22",31,"League","Group Stage",3824633,"Steven",61,"v",68,"James",16280
